name,rating,genre,year,released date,released year,score,votes,director,writer,star,country,budget,gross,company,runtime
Two Moon Junction,R,Drama,1988,29-Apr, 1988 (United States),5.1,5200,Zalman King,Zalman King,Sherilyn Fenn,United States,1,1547397,DDM Film Corporation,104
The Accidental Tourist,PG,Drama,1988,6-Jan, 1989 (United States),6.8,15000,Lawrence Kasdan,Anne Tyler,William Hurt,United States,1,32632093,Warner Bros.,121
Frantic,R,Crime,1988,26-Feb, 1988 (United States),6.9,51000,Roman Polanski,Roman Polanski,Harrison Ford,France,20000000,17637950,Warner Bros.,120
School Daze,R,Comedy,1988,12-Feb, 1988 (United States),6,6700,Spike Lee,Spike Lee,Laurence Fishburne,United States,6500000,14545844,Columbia Pictures,121
The Milagro Beanfield War,R,Comedy,1988,18-Mar, 1988 (United States),6.9,6000,Robert Redford,John Nichols,Rubén Blades,United States,22000000,13825794,Esparza,117
Bird,R,Biography,1988,30-Sep, 1988 (United States),7.2,12000,Clint Eastwood,Joel Oliansky,Forest Whitaker,United States,9000000,2181286,The Malpaso Company,161
D.O.A.,R,Mystery,1988,18-Mar, 1988 (United States),6.2,9700,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,United States,1,12706478,Bigelow Productions,96
The Unholy,R,Horror,1988,22-Apr, 1988 (United States),5,1700,Camilo Vila,Philip Yordan,Ben Cross,United States,1,6337299,Vestron Pictures,102
Heartbreak Hotel,PG-13,Comedy,1988,30-Sep, 1988 (United States),5.7,1200,Chris Columbus,Chris Columbus,David Keith,United States,13000000,5509417,Silver Screen Partners III,97
Patty Hearst,R,Biography,1988,23-Sep, 1988 (United States),6.3,1700,Paul Schrader,Patricia Hearst,Natasha Richardson,United Kingdom,1,1223326,Atlantic Entertainment Group,108
Indiana Jones and the Last Crusade,PG-13,Action,1989,24-May, 1989 (United States),8.2,707000,Steven Spielberg,Jeffrey Boam,Harrison Ford,United States,48000000,474171806,Paramount Pictures,127
Do the Right Thing,R,Comedy,1989,21-Jul, 1989 (United States),8,94000,Spike Lee,Spike Lee,Danny Aiello,United States,6500000,37295445,40 Acres \u0026 A Mule Filmworks,120
Sex Lies and Videotape,R,Drama,1989,22-Sep, 1989 (United States),7.2,52000,Steven Soderbergh,Steven Soderbergh,James Spader,United States,1200000,24741667,Outlaw Productions (I),100
Parenthood,PG-13,Comedy,1989,2-Aug, 1989 (United States),7,46000,Ron Howard,Lowell Ganz,Steve Martin,United States,20000000,126297830,Imagine Entertainment,124
Casualties of War,R,Action,1989,18-Aug, 1989 (United States),7.1,42000,Brian De Palma,Daniel Lang,Michael J. Fox,United States,22500000,18671317,Art Linson Productions,113
Wild Orchid,R,Drama,1989,27-Apr, 1990 (United States),4.6,12000,Zalman King,Patricia Louisianna Knop,Mickey Rourke,United States,1,11060485,Vision PDG,105
Star Trek V: The Final Frontier,PG,Action,1989,9-Jun, 1989 (United States),5.5,57000,William Shatner,Gene Roddenberry,William Shatner,United States,27800000,52210049,Paramount Pictures,107
Always,PG,Drama,1989,22-Dec, 1989 (United States),6.4,29000,Steven Spielberg,Jerry Belson,Richard Dreyfuss,United States,31000000,74134790,Universal Pictures,122
Cousins,PG-13,Comedy,1989,10-Feb, 1989 (United States),6.3,4300,Joel Schumacher,Jean-Charles Tacchella,Ted Danson,United States,13000000,22026369,Paramount Pictures,113
